nohup: ignoring input
 INFO  Accepting connections at http://localhost:3001
 HTTP  7/5/2026 10:10:08 PM 172.20.10.2 GET /
 HTTP  7/5/2026 10:10:08 PM 172.20.10.2 Returned 200 in 17 ms
 HTTP  7/5/2026 10:10:08 PM 172.20.10.2 GET /static/js/main.172b9562.js
 HTTP  7/5/2026 10:10:08 PM 172.20.10.2 Returned 200 in 8 ms
 HTTP  7/5/2026 10:10:08 PM 172.20.10.2 GET /favicon.ico
 HTTP  7/5/2026 10:10:08 PM 172.20.10.2 Returned 304 in 2 ms
 HTTP  7/5/2026 10:10:09 PM 172.20.10.2 GET /
 HTTP  7/5/2026 10:10:09 PM 172.20.10.2 Returned 304 in 1 ms
 HTTP  7/5/2026 10:10:09 PM 172.20.10.2 GET /static/js/main.172b9562.js
 HTTP  7/5/2026 10:10:09 PM 172.20.10.2 Returned 304 in 1 ms
 HTTP  7/5/2026 10:10:09 PM 172.20.10.2 GET /favicon.ico
 HTTP  7/5/2026 10:10:09 PM 172.20.10.2 Returned 304 in 2 ms
 HTTP  7/5/2026 10:10:10 PM 172.20.10.2 GET /
 HTTP  7/5/2026 10:10:10 PM 172.20.10.2 Returned 304 in 2 ms
 HTTP  7/5/2026 10:10:10 PM 172.20.10.2 GET /static/js/main.172b9562.js
 HTTP  7/5/2026 10:10:10 PM 172.20.10.2 Returned 304 in 1 ms
 HTTP  7/5/2026 10:10:10 PM 172.20.10.2 GET /favicon.ico
 HTTP  7/5/2026 10:10:10 PM 172.20.10.2 Returned 304 in 2 ms
 HTTP  7/5/2026 10:10:10 PM 172.20.10.2 GET /
 HTTP  7/5/2026 10:10:10 PM 172.20.10.2 Returned 304 in 2 ms
 HTTP  7/5/2026 10:10:10 PM 172.20.10.2 GET /static/js/main.172b9562.js
 HTTP  7/5/2026 10:10:10 PM 172.20.10.2 Returned 304 in 2 ms
 HTTP  7/5/2026 10:10:10 PM 172.20.10.2 GET /favicon.ico
 HTTP  7/5/2026 10:10:10 PM 172.20.10.2 Returned 304 in 3 ms
 HTTP  7/5/2026 10:10:23 PM 172.20.10.6 GET /
 HTTP  7/5/2026 10:10:23 PM 172.20.10.6 Returned 200 in 4 ms
 HTTP  7/5/2026 10:10:23 PM 172.20.10.6 GET /static/js/main.172b9562.js
 HTTP  7/5/2026 10:10:23 PM 172.20.10.6 Returned 200 in 2 ms
 HTTP  7/5/2026 10:10:24 PM 172.20.10.6 GET /favicon.ico
 HTTP  7/5/2026 10:10:24 PM 172.20.10.6 Returned 200 in 1 ms
